star_name,ra,dec,ra_J2016,dec_J2016,tic_id,gaia_dr2_id,gaia_dr3_id,hip_name,tm_name,tyc_name,wds_designation,simbad_name,source_list_fl,sy_pmra,sy_pmraerr,sy_pmdec,sy_pmdecerr,sy_pmsrc,sy_pm_reflink,sy_ujmag,sy_ujmagerr,sy_ujmagsrc,sy_ujmag_reflink,sy_bmag,sy_bmagerr,sy_bmagsrc,sy_bmag_reflink,sy_vmag,sy_vmagerr,sy_vmagsrc,sy_vmag_reflink,sy_rcmag,sy_rcmagerr,sy_rcmagsrc,sy_rcmag_reflink,sy_icmag,sy_icmagerr,sy_icmagsrc,sy_icmag_reflink,sy_jmag,sy_jmagerr,sy_jmagsrc,sy_jmag_reflink,sy_hmag,sy_hmagerr,sy_hmagsrc,sy_hmag_reflink,sy_kmag,sy_kmagmerr,sy_kmagsrc,sy_kmag_reflink,sy_tmag,sy_tmagerr,sy_gaiamag,sy_gaiamagerr,sy_gaiamagsrc,sy_gaiamag_reflink,sy_bpmag,sy_bpmagerr,sy_rpmag,sy_rpmagerr,sy_plx,sy_plxerr,sy_plxsrc,sy_plx_reflink,sy_dist,sy_disterr,sy_distsrc,sy_dist_reflink,ambiguous_dist_fl,st_spectype,st_spectype_reflink,dwarf_fl,st_teff,st_tefferr,st_teffsrc,st_teff_reflink,st_logg,st_loggerr,st_loggsrc,st_logg_reflink,st_loggspec,st_loggspecerr,st_loggspecsrc,st_loggspec_reflink,st_met,st_meterr,st_metsrc,st_met_reflink,st_lum,st_lumerr,st_lumsrc,st_lum_reflink,st_rad,st_raderr,st_radsrc,st_rad_reflink,st_mass,st_masserr,st_masssrc,st_mass_reflink,uncertain_M_flag,st_age,st_ageerr,st_agesrc,st_age_reflink,contaminant_fl,brightest_sep,brightest_Gmag,brightest_id,nearest_sep,nearest_Gmag,nearest_id,known_binary_fl,gaia_binary_fl,wds_comp,wds_sep,wds_deltamag,GCNS_companion,GCNS_sep,GCNS_mag_diff,sy_planets_flag,hostname,Name,Teff,logg,vsini,SimbadName,_RA,_DE
TIC 459832522,213.915338,19.182202,,,459832522.0,,,69673.0,2MASS J14153968+1910558,1472-01436-1,WDS J14157+1911A,* alf Boo,tic_near,-1093.0,8.0,-1999.0,8.0,TIC tic7,2019AJ....158..138S,2.46,,Simbad 2002yCat.2237....0D,2002yCat.2237....0D,1.18,,Simbad 2002yCat.2237....0D,2002yCat.2237....0D,-0.05,,Simbad 2002yCat.2237....0D,2002yCat.2237....0D,-1.03,,Simbad 2002yCat.2237....0D,2002yCat.2237....0D,-1.68,,Simbad 2002yCat.2237....0D,2002yCat.2237....0D,-2.252,0.157,TIC,2019AJ....158..138S,-2.81,9.996,TIC,2019AJ....158..138S,-2.911,0.17,TIC,2019AJ....158..138S,-1.254,0.167,,,,,,,,,88.83,0.54,TIC hip,2019AJ....158..138S,11.257458065968704,0.0684343955378036,TIC plx hip,2019AJ....158..138S,0,K1.5IIIFe-0.5,1989ApJS...71..245K,0,4295.0,9.0,Pastel,2022A&A...663A...4S,1.6053278628964351,0.019727405570539,calculated_from_M_and_R,Calculated Value,1.67,0.05,Pastel,2022A&A...663A...4S,-0.55,0.01,Pastel,2022A&A...663A...4S,2.2830749747354715,0.004401786176664,Stock2018,2018A&A...616A..33S,25.018645639478063,0.1645265267921034,calc_from_L_and_Teff,Calculated Value,0.92,0.04,Stock2018,2018A&A...616A..33S,0,8.709635899560796,1.1714901594339953,Stock2018,2018A&A...616A..33S,,,,,,,,1,0,A,0.3,3.33,,,,0,,HD 217987,4927.07,4.23,-4.37,HD 217987,346.46682,-35.85307
TIC 245873777,68.980213,16.509084,,,245873777.0,,,21421.0,2MASS J04355524+1630331,1266-01416-1,WDS J04359+1631A,* alf Tau,tic_near,63.0,8.0,-189.0,8.0,TIC tic7,2019AJ....158..138S,4.32,,Simbad 2002yCat.2237....0D,2002yCat.2237....0D,2.4,,Simbad 2002yCat.2237....0D,2002yCat.2237....0D,0.86,,Simbad 2002yCat.2237....0D,2002yCat.2237....0D,-0.37,,Simbad 2002yCat.2237....0D,2002yCat.2237....0D,-1.31,,Simbad 2002yCat.2237....0D,2002yCat.2237....0D,-2.095,0.194,TIC,2019AJ....158..138S,-2.775,0.17,TIC,2019AJ....158..138S,-3.044,0.14,TIC,2019AJ....158..138S,-1.2,0.209,,,,,,,,,48.94,0.77,TIC hip,2019AJ....158..138S,20.43318348998774,0.3214865404023408,TIC plx hip,2019AJ....158..138S,0,K5+III,1989ApJS...71..245K,0,3902.6,,TIC,2019AJ....158..138S,1.121076301243172,,calculated_from_M_and_R,Calculated Value,,,,,-0.3783,0.0183,TIC,2019AJ....158..138S,2.605585145784423,0.0113673021288717,Stock2018,2018A&A...616A..33S,43.92756573407304,,calc_from_L_and_Teff,Calculated Value,0.93,0.0299999999999999,Stock2018,2018A&A...616A..33S,0,9.549925860214367,0.8161194767309523,Stock2018,2018A&A...616A..33S,,,,,,,,1,0,A,31.6,12.75,,,,1,alf Tau,HD 95735,5114.07,4.31,-3.25,HD 95735,165.83414,35.96988
TIC 272314138,187.791407,-57.11318,,,272314138.0,,,61084.0,2MASS J12310993-5706474,8654-3422-1,WDS J12312-5707A,* gam Cru,tic_bright,28.0,8.0,-264.0,8.0,TIC tic7,2019AJ....158..138S,5.01,,Simbad 2002yCat.2237....0D,2002yCat.2237....0D,3.23,,Simbad 2002yCat.2237....0D,2002yCat.2237....0D,1.64,,Simbad 2002yCat.2237....0D,2002yCat.2237....0D,-0.02,,Simbad 2002yCat.2237....0D,2002yCat.2237....0D,-1.44,,Simbad 2002yCat.2237....0D,2002yCat.2237....0D,-1.994,0.099,TIC,2019AJ....158..138S,-2.985,0.146,TIC,2019AJ....158..138S,-3.258,0.168,TIC,2019AJ....158..138S,-1.043,0.17,,,,,,,,,36.83,0.18,Simbad 2007A&A...474..653V,2007A&A...474..653V,27.15177844148792,0.1326994330564166,Simbad plx 2007A&A...474..653V,2007A&A...474..653V,0,M3.5III,1989ApJS...71..245K,0,3689.0,125.0,McDonald2017,2017MNRAS.471..770M,0.460917370202639,0.0891723432562929,calculated_from_M_and_R,Calculated Value,0.712,,McDonald2017,2017MNRAS.471..770M,,,,,2.9352033256353525,0.0301499966114585,update McDonald2017,2017MNRAS.471..770M,71.85169160791429,5.47089608545175,calc_from_L_and_Teff,Calculated Value,0.5441563948589293,0.074945613199974,TIC_teff_mass_relation,Calculated Value,1,,,,,,,,,,,,1,0,A,133.2,4.62,,,,0,,HD 239960,5229.54,4.43,-1.78,HD 239960,336.9978,57.6959
TIC 322899250,101.286998,-16.715745,,,322899250.0,,,32349.0,2MASS J06450887-1642566,5949-2777-1,WDS J06451-1643A,* alf CMa,tic_near,-546.0,8.0,-1223.0,8.0,TIC tic7,2019AJ....158..138S,-1.51,,Simbad 2002yCat.2237....0D,2002yCat.2237....0D,-1.46,,Simbad 2002yCat.2237....0D,2002yCat.2237....0D,-1.46,,Simbad 2002yCat.2237....0D,2002yCat.2237....0D,-1.46,,Simbad 2002yCat.2237....0D,2002yCat.2237....0D,-1.43,,Simbad 2002yCat.2237....0D,2002yCat.2237....0D,-1.391,0.109,TIC,2019AJ....158..138S,-1.391,0.184,TIC,2019AJ....158..138S,-1.39,0.214,TIC,2019AJ....158..138S,-0.891,0.8,,,,,,,,,379.21,1.58,Simbad 2007A&A...474..653V,2007A&A...474..653V,2.6370612589330453,0.0109874654917175,Simbad plx 2007A&A...474..653V,2007A&A...474..653V,0,A0mA1Va,2003AJ....126.2048G,1,9712.0,,TIC,2019AJ....158..138S,4.31178527747503,,calculated_from_M_and_R,Calculated Value,,,,,0.4987,0.1028,TIC,2019AJ....158..138S,1.424240437142861,,Pecaut_and_Mamajek_2013,Calculated Value,1.8203525896298292,,calc_from_L_and_Teff,Calculated Value,2.4775856792237505,0.3234637220286627,TIC_teff_mass_relation,Calculated Value,0,,,,,,,,,,,,1,0,A,11.3,9.91,,,,0,,HD 142373,5935.8,4.15,0.27,HD 142373,238.16892,42.45152
TIC 368326352,79.172437,45.997898,,,368326352.0,,,24608.0,2MASS J05164138+4559525,3358-3141-1,"WDS J05167+4600Aa,Ab",* alf Aur,tic_near,75.52,0.77,-427.13,0.5,TIC tic7,2019AJ....158..138S,1.33,,Simbad 1966CoLPL...4...99J,1966CoLPL...4...99J,0.88,,Simbad 1966CoLPL...4...99J,1966CoLPL...4...99J,0.08,,Simbad 1966CoLPL...4...99J,1966CoLPL...4...99J,-0.52,,Simbad 1966CoLPL...4...99J,1966CoLPL...4...99J,-0.96,,Simbad 1966CoLPL...4...99J,1966CoLPL...4...99J,-1.249,0.202,TIC,2019AJ....158..138S,-1.573,0.184,TIC,2019AJ....158..138S,-1.735,0.144,TIC,2019AJ....158..138S,-0.701,0.218,,,,,,,,,76.2,0.46,Simbad 2007A&A...474..653V,2007A&A...474..653V,13.0,,Simbad 2010A&ARv..18...67T,2010A&ARv..18...67T,0,G3III:,1989ApJS...71..245K,0,5205.0,45.0,Pastel,2022A&A...663A...4S,2.080186334839874,,calculated_from_M_and_R,Calculated Value,2.5,0.34,Pastel,2022A&A...663A...4S,-0.37,0.06,Pastel,2022A&A...663A...4S,2.1252922899714317,,update McDonald2017,2017MNRAS.471..770M,14.205526091276626,,calc_from_L_and_Teff,Calculated Value,0.8851835852264439,0.1031470100114162,TIC_teff_mass_relation,Calculated Value,1,,,,,,,,,,,,1,0,"Aa,Ab",0.0,0.0999999999999999,,,,0,,HD 114946,5013.79,3.29,0.1,HD 114946,198.5454,-19.93095
TIC 471011144,219.903981,-60.837157,,,471011144.0,,,71681.0,,9007-05848-1,WDS J14396-6050B,* alf Cen B,tic_near,-3600.35,26.1,952.11,19.75,TIC tic7,2019AJ....158..138S,2.89,,Simbad 2002yCat.2237....0D,2002yCat.2237....0D,2.21,,Simbad 2002yCat.2237....0D,2002yCat.2237....0D,1.33,,Simbad 2002yCat.2237....0D,2002yCat.2237....0D,,,,,,,,,-0.01,,Simbad 2002yCat.2237....0D,2002yCat.2237....0D,-0.49,,Simbad 2002yCat.2237....0D,2002yCat.2237....0D,-0.6,,Simbad 2002yCat.2237....0D,2002yCat.2237....0D,-0.15,1.5,,,,,,,,,742.12,1.4,TIC hip,2019AJ....158..138S,1.3474909718104888,0.002542024686755,TIC plx hip,2019AJ....158..138S,0,K1V,2006A&A...460..695T,1,5244.0,13.0,Pastel,2022A&A...663A...4S,4.481990873150966,,calculated_from_M_and_R,Calculated Value,4.54,0.03,Pastel,2022A&A...663A...4S,0.24,0.01,Pastel,2022A&A...663A...4S,-0.2583092356262869,,Pecaut_and_Mamajek_2013,Calculated Value,0.899855262848747,,calc_from_L_and_Teff,Calculated Value,0.8959186306211407,0.1054483509367551,TIC_teff_mass_relation,Calculated Value,0,,,,,,7.285097,17.195761,5.877724974403178e+18,1.763552,20.252535,5.877724974431824e+18,1,0,B,5.3,-1.34,,,,0,,HD 67228,5852.43,4.0,2.13,HD 67228,121.94107,21.58181
TIC 280310048,114.825217,5.224936,,,280310048.0,,,37279.0,2MASS J07391805+0513298,0187-02184-1,WDS J07393+0514A,* alf CMi,tic_near,-717.0,8.0,-1035.0,8.0,TIC tic7,2019AJ....158..138S,0.82,,Simbad 2002yCat.2237....0D,2002yCat.2237....0D,0.79,,Simbad 2002yCat.2237....0D,2002yCat.2237....0D,0.37,,Simbad 2002yCat.2237....0D,2002yCat.2237....0D,-0.05,,Simbad 2002yCat.2237....0D,2002yCat.2237....0D,-0.28,,Simbad 2002yCat.2237....0D,2002yCat.2237....0D,-0.498,0.151,TIC,2019AJ....158..138S,-0.666,0.27,TIC,2019AJ....158..138S,-0.658,0.322,TIC,2019AJ....158..138S,-0.105,0.19,,,,,,,,,285.93,0.88,TIC hip,2019AJ....158..138S,3.497359493582345,0.0107637406160684,TIC plx hip,2019AJ....158..138S,0,F5IV-V+DQZ,2013yCat....1.2023S,1,6584.0,,TIC,2019AJ....158..138S,3.99361050028692,,calculated_from_M_and_R,Calculated Value,,,,,0.0073,0.0079,TIC,2019AJ....158..138S,0.857802556964839,,Pecaut_and_Mamajek_2013,Calculated Value,2.0633565402794045,,calc_from_L_and_Teff,Calculated Value,1.53,0.03,gcs_reanalysis,2011A&A...530A.138C,0,1.74,0.3499999999999998,gcs_reanalysis,2011A&A...530A.138C,,,,,,,,1,0,A,3.8,10.34,,,,0,,HD 147513,5873.25,4.54,2.37,HD 147513,246.00538,-39.19298
TIC 471011145,219.910043,-60.833976,,,471011145.0,,,71683.0,2MASS J14393592-6050069,9007-5849-1,WDS J14396-6050A,* alf Cen A,tic_near,-3678.19,1.51,481.84,1.24,TIC tic7,2019AJ....158..138S,0.96,,Simbad 2002yCat.2237....0D,2002yCat.2237....0D,0.72,,Simbad 2002yCat.2237....0D,2002yCat.2237....0D,0.01,,Simbad 2002yCat.2237....0D,2002yCat.2237....0D,,,,,,,,,-1.454,0.133,Simbad 2003yCat.2246....0C,2003yCat.2246....0C,-1.886,0.22,Simbad 2003yCat.2246....0C,2003yCat.2246....0C,-2.008,0.26,Simbad 2003yCat.2246....0C,2003yCat.2246....0C,-0.01,,,,,,,,,,742.12,1.4,TIC hip,2019AJ....158..138S,1.3474909718104888,0.002542024686755,TIC plx hip,2019AJ....158..138S,0,G2V,2006A&A...460..695T,1,5776.0,16.0,Pastel,2022A&A...663A...4S,4.23444456040393,,calculated_from_M_and_R,Calculated Value,4.3,0.03,Pastel,2022A&A...663A...4S,0.2,0.01,Pastel,2022A&A...663A...4S,0.2198564358187633,,Pecaut_and_Mamajek_2013,Calculated Value,1.2862532752257885,,calc_from_L_and_Teff,Calculated Value,1.035213484399243,0.1216357329807734,TIC_teff_mass_relation,Calculated Value,0,,,,,,7.405878,15.110233,5.877748442111773e+18,4.484037,20.428917,5.877748442133075e+18,1,0,A,5.3,1.34,,,,0,,HD 25069,4848.18,3.22,0.17,HD 25069,59.71831,-5.46995
TIC 157587146,279.234764,38.783747,,,157587146.0,,,91262.0,2MASS J18365633+3847012,3105-2070-1,WDS J18369+3846A,* alf Lyr,tic_near,201.02,0.57,287.46,0.6,TIC tic7,2019AJ....158..138S,0.03,,Simbad 2002yCat.2237....0D,2002yCat.2237....0D,0.03,,Simbad 2002yCat.2237....0D,2002yCat.2237....0D,0.03,,Simbad 2002yCat.2237....0D,2002yCat.2237....0D,0.07,,Simbad 2002yCat.2237....0D,2002yCat.2237....0D,0.1,,Simbad 2002yCat.2237....0D,2002yCat.2237....0D,-0.177,0.206,TIC,2019AJ....158..138S,-0.029,0.146,TIC,2019AJ....158..138S,0.129,0.186,TIC,2019AJ....158..138S,0.323,0.8,,,,,,,,,128.93,0.55,TIC hip,2019AJ....158..138S,7.756146746296439,0.0330867967925466,TIC plx hip,2019AJ....158..138S,0,A0Va,2003AJ....126.2048G,1,9458.3,,TIC,2019AJ....158..138S,3.911880206165238,,calculated_from_M_and_R,Calculated Value,,,,,-0.4724,0.075,TIC,2019AJ....158..138S,1.7652920346719942,,Pecaut_and_Mamajek_2013,Calculated Value,2.8423168672992976,,calc_from_L_and_Teff,Calculated Value,2.4052352692799066,0.3192164871142279,TIC_teff_mass_relation,Calculated Value,0,,,,,,,,,,,,1,0,A,84.5,9.41,,,,0,,HD 149661,5251.58,4.51,1.39,HD 149661,249.08937,-2.32459
TIC 423088367,116.328966,28.026137,,,423088367.0,,,37826.0,2MASS J07451891+2801340,1920-02194-1,WDS J07453+2802A,* bet Gem,tic_bright,-626.0,8.0,-46.0,8.0,TIC tic7,2019AJ....158..138S,3.0,,Simbad 2002yCat.2237....0D,2002yCat.2237....0D,2.14,,Simbad 2002yCat.2237....0D,2002yCat.2237....0D,1.14,,Simbad 2002yCat.2237....0D,2002yCat.2237....0D,0.39,,Simbad 2002yCat.2237....0D,2002yCat.2237....0D,-0.11,,Simbad 2002yCat.2237....0D,2002yCat.2237....0D,-0.315,0.232,TIC,2019AJ....158..138S,-0.845,0.178,TIC,2019AJ....158..138S,-0.936,0.16,TIC,2019AJ....158..138S,0.443,0.239,,,,,,,,,96.54,0.27,Simbad 2007A&A...474..653V,2007A&A...474..653V,10.358400662937642,0.0289700453593656,Simbad plx 2007A&A...474..653V,2007A&A...474..653V,0,K0IIIb,1989ApJS...71..245K,0,4860.0,20.0,Pastel,2022A&A...663A...4S,2.850487304998192,0.0217211728632346,calculated_from_M_and_R,Calculated Value,2.89,0.04,Pastel,2022A&A...663A...4S,0.02,0.03,Pastel,2022A&A...663A...4S,1.594171479114912,0.0018795840611902,Stock2018,2018A&A...616A..33S,8.840276440775776,0.0752322773051648,calc_from_L_and_Teff,Calculated Value,2.02,0.0949999999999999,Stock2018,2018A&A...616A..33S,0,1.2882495516931325,0.1705091196925753,Stock2018,2018A&A...616A..33S,,,,,,,,1,0,A,39.8,12.37,,,,1,HD 62509,HD 3651,5214.5,4.46,1.25,HD 3651,9.84086,21.25048
TIC 440388263,89.88216396171,44.94743634981,,,440388263.0,1.966566611747685e+17,,28360.0,2MASS J05593172+4456508,2924-2742-1,"WDS J05595+4457Aa,Ab",* bet Aur,tic_bright,-56.0,8.0,-1.0,8.0,TIC sblink,2019AJ....158..138S,1.97,,Simbad 2002yCat.2237....0D,2002yCat.2237....0D,1.93,,Simbad 2002yCat.2237....0D,2002yCat.2237....0D,1.9,,Simbad 2002yCat.2237....0D,2002yCat.2237....0D,1.82,,Simbad 2002yCat.2237....0D,2002yCat.2237....0D,1.83,,Simbad 2002yCat.2237....0D,2002yCat.2237....0D,1.756,0.222,TIC,2019AJ....158..138S,1.76,0.168,TIC,2019AJ....158..138S,1.778,0.19,TIC,2019AJ....158..138S,0.572,0.227,1.71414,,,,5.13435,,2.39818,,40.21,0.23,Simbad 2007A&A...474..653V,2007A&A...474..653V,24.86943546381497,0.1422524286664372,Simbad plx 2007A&A...474..653V,2007A&A...474..653V,0,A1IV-Vp,2003AJ....126.2048G,1,8848.7,,TIC,2019AJ....158..138S,3.48908264693202,,calculated_from_M_and_R,Calculated Value,,,,,0.37,,Simbad 2019MNRAS.485.1067T,2019MNRAS.485.1067T,2.038807431448595,,calc_from_gaia,Calculated Value,4.449358685806391,,calc_from_L_and_Teff,Calculated Value,2.2264341531921854,0.3113012334510144,TIC_teff_mass_relation,Calculated Value,0,,,,,,,,,,,,1,0,"Aa,Ab",0.0,0.2000000000000001,,,,0,,HD 175317,6308.54,4.05,15.9,HD 175317,283.87919,-16.37664
TIC 70257116,297.695844,8.868386,,,70257116.0,,,97649.0,2MASS J19504698+0852060,1058-03399-1,WDS J19508+0852A,* alf Aql,tic_near,537.0,8.0,386.0,8.0,TIC tic7,2019AJ....158..138S,1.07,,Simbad 2002yCat.2237....0D,2002yCat.2237....0D,0.98,,Simbad 2002yCat.2237....0D,2002yCat.2237....0D,0.76,,Simbad 2002yCat.2237....0D,2002yCat.2237....0D,0.62,,Simbad 2002yCat.2237....0D,2002yCat.2237....0D,0.49,,Simbad 2002yCat.2237....0D,2002yCat.2237....0D,0.313,0.168,TIC,2019AJ....158..138S,0.102,0.22,TIC,2019AJ....158..138S,0.102,0.248,TIC,2019AJ....158..138S,0.584,0.192,,,,,,,,,194.95,0.57,TIC hip,2019AJ....158..138S,5.12952038984355,0.0149978282749978,TIC plx hip,2019AJ....158..138S,0,A7Vn,2003AJ....126.2048G,1,7747.2,,TIC,2019AJ....158..138S,4.193641746053382,,calculated_from_M_and_R,Calculated Value,,,,,0.48,,Simbad 2017AJ....153...21L,2017AJ....153...21L,1.0177215757396576,,Pecaut_and_Mamajek_2013,Calculated Value,1.7915292251488666,,calc_from_L_and_Teff,Calculated Value,1.8281924586383476,0.2882623951910294,TIC_teff_mass_relation,Calculated Value,0,,,,,,,,,,,,1,0,A,195.8,8.870000000000001,,,,0,,HD 43587,6194.39,4.63,14.22,HD 43587,94.31721,5.09997
TIC 99843265,165.931834,61.750945,,,99843265.0,,,54061.0,2MASS J11034364+6145034,,WDS J11037+6145AB,* alf UMa,tic_near,-136.0,8.0,-35.0,8.0,TIC tic7,2019AJ....158..138S,3.78,,Simbad 2002yCat.2237....0D,2002yCat.2237....0D,2.86,,Simbad 2002yCat.2237....0D,2002yCat.2237....0D,1.79,,Simbad 2002yCat.2237....0D,2002yCat.2237....0D,0.98,,Simbad 2002yCat.2237....0D,2002yCat.2237....0D,0.4,,Simbad 2002yCat.2237....0D,2002yCat.2237....0D,-0.34,0.21,TIC,2019AJ....158..138S,-0.751,0.144,TIC,2019AJ....158..138S,-0.829,0.17,TIC,2019AJ....158..138S,0.595,0.218,,,,,,,,,26.54,0.48,TIC hip,2019AJ....158..138S,37.67897513187641,0.6814584801545094,TIC plx hip,2019AJ....158..138S,0,G9III+A7.5,2014yCat....1.2023S,0,4627.0,43.0,Pastel,2022A&A...663A...4S,1.362312580826222,0.060189308372922,calculated_from_M_and_R,Calculated Value,2.2,0.18,Pastel,2022A&A...663A...4S,-0.18,0.04,Pastel,2022A&A...663A...4S,2.557308083011712,0.0329045078780168,update McDonald2017,2017MNRAS.471..770M,29.56022172925343,1.2473433482763914,calc_from_L_and_Teff,Calculated Value,0.7339396124372838,0.0806840540620514,TIC_teff_mass_relation,Calculated Value,1,,,,,,,,,,,,1,0,AB,0.8,2.93,,,,0,,HD 22713,5018.21,3.58,2.6,HD 22713,54.75465,-5.62621
TIC 229540730,222.676488,74.15555,,,229540730.0,,,72607.0,2MASS J14504235+7409199,4416-01799-1,WDS J14507+7409A,* bet UMi,tic_near,-32.29,0.45,11.91,0.57,TIC tic7,2019AJ....158..138S,5.32,,Simbad 2002yCat.2237....0D,2002yCat.2237....0D,3.55,,Simbad 2002yCat.2237....0D,2002yCat.2237....0D,2.08,,Simbad 2002yCat.2237....0D,2002yCat.2237....0D,0.97,,Simbad 2002yCat.2237....0D,2002yCat.2237....0D,0.21,,Simbad 2002yCat.2237....0D,2002yCat.2237....0D,-0.495,0.194,TIC,2019AJ....158..138S,-1.225,0.184,TIC,2019AJ....158..138S,-1.287,0.204,TIC,2019AJ....158..138S,0.666,0.205,,,,,,,,,25.79,0.52,TIC hip,2019AJ....158..138S,38.774718883288095,0.7818089887285696,TIC plx hip,2019AJ....158..138S,0,K4-III,1989ApJS...71..245K,0,4043.0,46.0,Pastel,2022A&A...663A...4S,0.9967012240487048,0.0644837471331594,calculated_from_M_and_R,Calculated Value,1.3,0.23,Pastel,2022A&A...663A...4S,-0.24,0.03,Pastel,2022A&A...663A...4S,2.623787469143692,0.0320530591378682,update McDonald2017,2017MNRAS.471..770M,41.79640191860209,1.8120550248499765,calc_from_L_and_Teff,Calculated Value,0.6322828325926475,0.0762096639367747,TIC_teff_mass_relation,Calculated Value,1,,,,,,,,,,,,1,0,A,212.3,10.55,,,,1,bet UMi,HD 156026,4583.92,4.45,2.05,HD 156026,259.05568,-26.54615
TIC 306349516,31.793405,23.462332,,,306349516.0,,,9884.0,2MASS J02071038+2327447,1758-02416-1,,* alf Ari,tic_near,191.0,8.0,-146.0,8.0,TIC tic7,2019AJ....158..138S,4.29,,Simbad 2002yCat.2237....0D,2002yCat.2237....0D,3.17,,Simbad 2002yCat.2237....0D,2002yCat.2237....0D,2.01,,Simbad 2002yCat.2237....0D,2002yCat.2237....0D,1.15,,Simbad 2002yCat.2237....0D,2002yCat.2237....0D,0.54,,Simbad 2002yCat.2237....0D,2002yCat.2237....0D,-0.196,0.218,TIC,2019AJ....158..138S,-0.749,0.156,TIC,2019AJ....158..138S,-0.783,0.176,TIC,2019AJ....158..138S,0.793,0.226,,,,,,,,,49.48,0.99,TIC hip,2019AJ....158..138S,20.21018593371059,0.4043670993204019,TIC plx hip,2019AJ....158..138S,0,K2-IIIbCa-1,1989ApJS...71..245K,0,4537.0,17.0,Pastel,2022A&A...663A...4S,2.27159594642618,0.0456706433603203,calculated_from_M_and_R,Calculated Value,2.35,0.09,Pastel,2022A&A...663A...4S,-0.19,0.02,Pastel,2022A&A...663A...4S,1.909609510490169,0.0050001889001298,Stock2018,2018A&A...616A..33S,14.58545029384291,0.1378294065595097,calc_from_L_and_Teff,Calculated Value,1.45,0.15,Stock2018,2018A&A...616A..33S,0,3.019951720402019,0.738315576201695,Stock2018,2018A&A...616A..33S,,,,,,,,0,0,,,,,,,1,alf Ari,HD 30562,5901.58,4.15,3.82,HD 30562,72.1516,-5.67404
